w Aex Asm
2.214440e+01 1.212333e-04 1.212728e-04
2.218474e+01 1.205343e-04 1.205728e-04
2.222507e+01 1.198413e-04 1.198789e-04
2.226541e+01 1.191544e-04 1.191911e-04
2.230574e+01 1.184733e-04 1.185092e-04
2.234608e+01 1.177981e-04 1.178332e-04
2.238641e+01 1.171287e-04 1.171631e-04
2.242674e+01 1.164650e-04 1.164987e-04
2.246708e+01 1.158069e-04 1.158401e-04
2.250741e+01 1.151544e-04 1.151870e-04
2.254775e+01 1.145075e-04 1.145395e-04
2.258808e+01 1.138660e-04 1.138975e-04
2.262842e+01 1.132299e-04 1.132609e-04
2.266875e+01 1.125992e-04 1.126297e-04
2.270909e+01 1.119737e-04 1.120038e-04
2.274942e+01 1.113535e-04 1.113832e-04
2.278976e+01 1.107384e-04 1.107677e-04
2.283009e+01 1.101285e-04 1.101574e-04
2.287042e+01 1.095235e-04 1.095522e-04
2.291076e+01 1.089236e-04 1.089519e-04
2.295109e+01 1.083286e-04 1.083567e-04
2.299143e+01 1.077385e-04 1.077663e-04
2.303176e+01 1.071533e-04 1.071808e-04
2.307210e+01 1.065728e-04 1.066001e-04
2.311243e+01 1.059970e-04 1.060241e-04
2.315277e+01 1.054259e-04 1.054529e-04
2.319310e+01 1.048594e-04 1.048863e-04
2.323344e+01 1.042975e-04 1.043243e-04
2.327377e+01 1.037401e-04 1.037669e-04
2.331411e+01 1.031872e-04 1.032140e-04
2.335444e+01 1.026388e-04 1.026655e-04
2.339477e+01 1.020947e-04 1.021215e-04
2.343511e+01 1.015549e-04 1.015818e-04
2.347544e+01 1.010194e-04 1.010465e-04
2.351578e+01 1.004882e-04 1.005155e-04
2.355611e+01 9.996117e-05 9.998872e-05
2.359645e+01 9.943829e-05 9.946618e-05
2.363678e+01 9.891952e-05 9.894783e-05
2.367712e+01 9.840481e-05 9.843364e-05
2.371745e+01 9.789412e-05 9.792358e-05
2.375779e+01 9.738742e-05 9.741763e-05
2.379812e+01 9.688466e-05 9.691576e-05
2.383845e+01 9.638579e-05 9.641798e-05
2.387879e+01 9.589078e-05 9.592427e-05
2.391912e+01 9.539959e-05 9.543465e-05
2.395946e+01 9.491219e-05 9.494913e-05
2.399979e+01 9.442852e-05 9.446778e-05
2.404013e+01 9.394855e-05 9.399065e-05
2.408046e+01 9.347225e-05 9.351788e-05
2.412080e+01 9.299957e-05 9.304965e-05
2.416113e+01 9.253049e-05 9.258623e-05
2.420147e+01 9.206495e-05 9.212803e-05
2.424180e+01 9.160294e-05 9.167565e-05
2.428214e+01 9.114441e-05 9.122997e-05
2.432247e+01 9.068932e-05 9.079220e-05
2.436280e+01 9.023765e-05 9.036383e-05
2.440314e+01 8.978936e-05 8.994631e-05
2.444347e+01 8.934441e-05 8.953975e-05
2.448381e+01 8.890277e-05 8.913921e-05
2.452414e+01 8.846441e-05 8.873048e-05
2.456448e+01 8.802930e-05 8.829754e-05
2.460481e+01 8.759740e-05 8.784181e-05
2.464515e+01 8.716868e-05 8.738080e-05
2.468548e+01 8.674312e-05 8.692877e-05
2.472582e+01 8.632067e-05 8.649053e-05
2.476615e+01 8.590131e-05 8.606548e-05
2.480649e+01 8.548502e-05 8.565066e-05
2.484682e+01 8.507175e-05 8.524009e-05
2.488715e+01 8.466148e-05 8.482549e-05
2.492749e+01 8.425418e-05 8.440348e-05
2.496782e+01 8.384983e-05 8.397931e-05
2.500816e+01 8.344839e-05 8.355953e-05
2.504849e+01 8.304983e-05 8.314700e-05
2.508883e+01 8.265413e-05 8.274180e-05
2.512916e+01 8.226127e-05 8.234312e-05
2.516950e+01 8.187121e-05 8.194999e-05
2.520983e+01 8.148392e-05 8.156160e-05
2.525017e+01 8.109939e-05 8.117761e-05
2.529050e+01 8.071758e-05 8.079815e-05
2.533083e+01 8.033847e-05 8.042339e-05
2.537117e+01 7.996203e-05 8.005335e-05
2.541150e+01 7.958824e-05 7.968836e-05
2.545184e+01 7.921707e-05 7.932949e-05
2.549217e+01 7.884851e-05 7.897833e-05
2.553251e+01 7.848251e-05 7.863657e-05
2.557284e+01 7.811907e-05 7.830525e-05
2.561318e+01 7.775816e-05 7.798290e-05
2.565351e+01 7.739974e-05 7.766358e-05
2.569385e+01 7.704381e-05 7.733988e-05
2.573418e+01 7.669034e-05 7.700811e-05
2.577452e+01 7.633930e-05 7.666552e-05
2.581485e+01 7.599067e-05 7.631179e-05
2.585518e+01 7.564443e-05 7.595551e-05
2.589552e+01 7.530056e-05 7.560474e-05
2.593585e+01 7.495904e-05 7.525673e-05
2.597619e+01 7.461984e-05 7.490463e-05
2.601652e+01 7.428295e-05 7.454933e-05
2.605686e+01 7.394834e-05 7.419816e-05
2.609719e+01 7.361599e-05 7.385672e-05
2.613753e+01 7.328589e-05 7.352636e-05
2.617786e+01 7.295800e-05 7.320541e-05
2.621820e+01 7.263232e-05 7.288939e-05
2.625853e+01 7.230882e-05 7.257027e-05
2.629887e+01 7.198749e-05 7.224142e-05
2.633920e+01 7.166830e-05 7.190490e-05
2.637953e+01 7.135123e-05 7.156676e-05
2.641987e+01 7.103627e-05 7.123118e-05
2.646020e+01 7.072339e-05 7.090202e-05
2.650054e+01 7.041258e-05 7.058271e-05
2.654087e+01 7.010383e-05 7.027484e-05
2.658121e+01 6.979710e-05 6.997872e-05
2.662154e+01 6.949239e-05 6.969286e-05
2.666188e+01 6.918968e-05 6.941137e-05
2.670221e+01 6.888894e-05 6.912360e-05
2.674255e+01 6.859017e-05 6.882285e-05
2.678288e+01 6.829334e-05 6.851307e-05
2.682321e+01 6.799844e-05 6.820125e-05
2.686355e+01 6.770546e-05 6.789063e-05
2.690388e+01 6.741436e-05 6.758191e-05
2.694422e+01 6.712515e-05 6.727458e-05
2.698455e+01 6.683779e-05 6.696819e-05
2.702489e+01 6.655229e-05 6.666407e-05
2.706522e+01 6.626861e-05 6.636394e-05
2.710556e+01 6.598675e-05 6.606864e-05
2.714589e+01 6.570669e-05 6.577823e-05
2.718623e+01 6.542841e-05 6.549234e-05
